Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AAC76093.1	U00096	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
EEL41021.1	ACMJ01000036	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
EOO80837.1	AHEL01000071.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
CAX52582.1	AL009126	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
BAA85265	AB016245	daptomycin resistant pgsA	peptide antibiotic	antibiotic target alteration
YP_490321.1	NC_007779	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;aminocoumarin antibiotic	antibiotic efflux
BAA15934.1	AP009048	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;aminocoumarin antibiotic	antibiotic efflux
APB03218.1	KX531048.1	Bah amidohydrolase	peptide antibiotic	antibiotic inactivation
AAL82403.1	AF469609	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
WP_005768149.1	NC_008783	aminocoumarin resistant gyrB	aminocoumarin antibiotic	antibiotic target alteration
NP_253464.1	NC_002516.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AEX49906.1	JQ340365	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
CAA29819.1	X06599	Bc beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAA22562.1	M19530	Bc beta-lactamase	cephalosporin;penam	antibiotic inactivation
ALV80601.1	CP012901.1	major facilitator superfamily (MFS) antibiotic efflux pump	bicyclomycin	antibiotic efflux
AAA99504.1	L20573	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
AAA99505.1	L20573	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
AAA99503.1	L20573	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
AAZ04368.1	DQ089809	BEL beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
ACV69996.1	FJ666063	BEL beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
ACT09140.1	GQ202694	BEL beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
YP_003971446	NC_014638	antibiotic resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	antibiotic target alteration
BAL75272.1	AP012279	BJP beta-lactamase	carbapenem	antibiotic inactivation
AAR20595.1	AY453161	class A Bacillus anthracis Bla beta-lactamase	penam	antibiotic inactivation
AAR20596.1	AY453162	subclass B1 Bacillus anthracis Bla beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAA19882.1	L25634	blaF family beta-lactamase	penam	antibiotic inactivation
ABU39978.1	EF540343	blaZ beta-lactamase	penam	antibiotic inactivation
ABU39979.1	EF540343	blaZ beta-lactamase	penam	antibiotic inactivation
AAC36944.1	L32599	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
AAA22277.1	M33768	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;nucleoside antibiotic;acridine dye;phenicol antibiotic	antibiotic efflux
NP_212606	NC_001318	murA transferase	fosfomycin	antibiotic target alteration
YP_007652797.1	NC_020818.1	Bleomycin resistant protein	glycopeptide antibiotic	antibiotic inactivation
Q8FW76	AE014292	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
AAP82271	AY312416	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
AAN17791.1	AF440406.1	N/A	N/A	antibiotic inactivation
AJK71171.1	CP010306.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
EEK14408.1	ACLQ01000019.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
AAC32027.1	M80346	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
AAK96394.1	AF313471	CARB beta-lactamase	penam	antibiotic inactivation
ACJ61335.1	EU850412	CARB beta-lactamase	penam	antibiotic inactivation
BAA02497.1	D13210	CARB beta-lactamase	penam	antibiotic inactivation
AFI72872.1	JQ364968	CARB beta-lactamase	penam	antibiotic inactivation
CCW43444.1	HF953351	CARB beta-lactamase	penam	antibiotic inactivation
AIL92326.1	KJ934265	CARB beta-lactamase	penam	antibiotic inactivation
AIL92327.1	KJ934266	CARB beta-lactamase	penam	antibiotic inactivation
AIL92328.1	KJ934267	CARB beta-lactamase	penam	antibiotic inactivation
AAZ91704.1	DQ157752	CARB beta-lactamase	penam	antibiotic inactivation
WP_020835015.1	NG_048723.1	CARB beta-lactamase	penam	antibiotic inactivation
AGQ93789.1	CP006005	CARB beta-lactamase	penam	antibiotic inactivation
BAC61820.1	BA000032	CARB beta-lactamase	penam	antibiotic inactivation
AHJ02283.1	CP007005	CARB beta-lactamase	penam	antibiotic inactivation
AAB19430.2	S46063	CARB beta-lactamase	penam	antibiotic inactivation
AAC09012.1	U14749	CARB beta-lactamase	penam	antibiotic inactivation
AAF61417.1	AF135373	CARB beta-lactamase	penam	antibiotic inactivation
AAD19217.1	AF030945	CARB beta-lactamase	penam	antibiotic inactivation
AAM74565.1	AF409092	CARB beta-lactamase	penam	antibiotic inactivation
AAO59455.1	AY178993	CARB beta-lactamase	penam	antibiotic inactivation
AAP22374.1	AY248038	CARB beta-lactamase	penam	antibiotic inactivation
AKL79742.1	KP658477.1	CarO porin	carbapenem	reduced permeability to antibiotic;resistance by absence
AAQ63644.1	AY238971	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AAA22289.1	K00544	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AAA73865.1	M93113	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CAI47810.1	AJ878850	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
NP_848167.1	NC_004771	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
YP_006965431.1	NC_019368.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CAA11473.1	AJ223604	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
NP_249397.1	NC_002516	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
YP_009077553.1	NG_035647.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AAL68645.1	AF462019	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AAF66228.1	AF226276.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CAA23899.1	V00622	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CAA37806.1	X53797	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CAA30695.1	X07848	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AAB51421.1	U15027	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AAA23215.1	M55620	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CAA52904.1	X74948	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AAB53259.1	U75299	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
APB03217.1	KX531047.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
ATL63235.1	KY753886.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CAC87665.1	AJ308331	CAU beta-lactamase	carbapenem;penam	antibiotic inactivation
ACT97415.1	GQ343019	CblA beta-lactamase	cephalosporin	antibiotic inactivation
AAA22904.1	M63556	CcrA beta-lactamase	carbapenem	antibiotic inactivation
CAE00499.1	AJ574887.1	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
AAB58160.1	U97042	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;aminoglycoside antibiotic	antibiotic efflux
AAB58161.1	U97042	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;aminoglycoside antibiotic	antibiotic efflux
AAA21532.1	U05883	cepA beta-lactamase	cephalosporin	antibiotic inactivation
CAA56561.1	X80277	CepS beta-lactamase	cephalosporin	antibiotic inactivation
BAC76072.1	AB107899	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAL64019.1	AM408573	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
YP_001255356.1	NC_009495.1	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic	antibiotic target alteration
AAB17891.1	U38243	CfxA beta-lactamase	cephamycin	antibiotic inactivation
AAD23513.1	AF118110	CfxA beta-lactamase	cephamycin	antibiotic inactivation
AAL79549.2	AF472622	CfxA beta-lactamase	cephamycin	antibiotic inactivation
AAV37205.1	AY769933	CfxA beta-lactamase	cephamycin	antibiotic inactivation
AAV37206.1	AY769934	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ACT97371.1	GQ342996	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ABS29619.1	EF672680	CGB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAN28945	AY152390	murA transferase	fosfomycin	antibiotic target alteration
AAS79458.1	AY509120	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic;lincosamide antibiotic	antibiotic target alteration
WP_024565805.1	NZ_CP007547.1	BlaB beta-lactamase	carbapenem;penam	antibiotic inactivation
WP_015735625.1	NC_013406.1	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
AGZ55247.1	CP006845.1	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
YP_002773985.1	NC_012491	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
BAD63613.1	AP006627.1	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
WP_009887863.1	NC_017174	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
YP_001086469.1	NC_009089.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
Q0SSM7	CP000312	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
ABS43901.1	CP000768	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux
ABS43151.1	CP000768	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux
BAO79432.1	AB894099	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux
YP_002343805.1	NC_002163	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux
AAO15535.1	AF458080	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
AAF27726.1	AF156486	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
AAM77075.1	AY115475	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
AAK52606.1	AF294653	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
AAD22144.1	AF034958	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
CAL30186.1	AM296481	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
AAB36568.1	U09991	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation
AAC45805.1	AF015087	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
AAG03380.1	AF024666	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
CAA63264.1	X92508	CMY beta-lactamase	cephamycin	antibiotic inactivation
AAK31368.1	AF357597	CMY beta-lactamase	cephamycin	antibiotic inactivation
AHA80101.1	KF526113	CMY beta-lactamase	cephamycin	antibiotic inactivation
AHA80102.1	KF526114	CMY beta-lactamase	cephamycin	antibiotic inactivation
AHA80103.1	KF526115	CMY beta-lactamase	cephamycin	antibiotic inactivation
AHA80104.1	KF526116	CMY beta-lactamase	cephamycin	antibiotic inactivation
AGR82311.1	KF150216	CMY beta-lactamase	cephamycin	antibiotic inactivation
AHL39330.1	KJ207205	CMY beta-lactamase	cephamycin	antibiotic inactivation
AGZ20169.1	KF564648	CMY beta-lactamase	cephamycin	antibiotic inactivation
AAK31370.1	AF357599	CMY beta-lactamase	cephamycin	antibiotic inactivation
BAO05497.1	AB872957	CMY beta-lactamase	cephamycin	antibiotic inactivation
AHW47897.1	KJ155695	CMY beta-lactamase	cephamycin	antibiotic inactivation
AIT76090.1	KM087837	CMY beta-lactamase	cephamycin	antibiotic inactivation
AIT76089.1	KM087836	CMY beta-lactamase	cephamycin	antibiotic inactivation
AIT76099.1	KM087846	CMY beta-lactamase	cephamycin	antibiotic inactivation
AIT76092.1	KM087839	CMY beta-lactamase	cephamycin	antibiotic inactivation
AIT76093.1	KM087840	CMY beta-lactamase	cephamycin	antibiotic inactivation
AIT76097.1	KM087844	CMY beta-lactamase	cephamycin	antibiotic inactivation
AIT76091.1	KM087838	CMY beta-lactamase	cephamycin	antibiotic inactivation
AIT76098.1	KM087845	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAA76382.1	Y16785	CMY beta-lactamase	cephamycin	antibiotic inactivation
AAQ16660.2	AY339625	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAD88479.1	AJ555825	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAD88477.1	AJ555823	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAH03679.1	AJ781421	CMY beta-lactamase	cephamycin	antibiotic inactivation
AAS13399.1	AY513266	CMY beta-lactamase	cephamycin	antibiotic inactivation
AAU95778.1	AY743434	CMY beta-lactamase	cephamycin	antibiotic inactivation
BAE48233.1	AB194410	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAA62957.1	X91840	CMY beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AAX58682.2	AY960293	CMY beta-lactamase	cephamycin	antibiotic inactivation
AAZ66866.1	DQ139328	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABB72431.1	DQ256079	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABF06441.1	DQ463751	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABN69070.1	EF415650	CMY beta-lactamase	cephamycin	antibiotic inactivation
ACA30420.1	EU515249	CMY beta-lactamase	cephamycin	antibiotic inactivation
BAF56185.1	AB300358	CMY beta-lactamase	cephamycin	antibiotic inactivation
ACA30421.1	EU515250	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABQ51091.1	EF561644	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABS12248.1	EF685371	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABS12249.1	EF685372	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABR18736.1	EF622224	CMY beta-lactamase	cephamycin	antibiotic inactivation
ACA97846.1	EU496815	CMY beta-lactamase	cephamycin	antibiotic inactivation
ACA97847.1	EU496816	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABN51006.1	EF394370	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABN51007.1	EF394371	CMY beta-lactamase	cephamycin	antibiotic inactivation
ABY58049.1	EU331426.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
BAF36388.1	AB280919	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAP60699.1	AM931008	CMY beta-lactamase	cephamycin	antibiotic inactivation
BAF95726.1	AB372224	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAA75402.1	Y15130	CMY beta-lactamase	cephamycin	antibiotic inactivation
ACA30422.1	EU515251	CMY beta-lactamase	cephamycin	antibiotic inactivation
BAG14343.1	AB429270	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADM21467.1	HM146927	CMY beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ACJ05361.1	FJ360626	CMY beta-lactamase	cephamycin	antibiotic inactivation
ACJ65711.1	FJ437066	CMY beta-lactamase	cephamycin	antibiotic inactivation
CBB16411.1	FN546177	CMY beta-lactamase	cephamycin	antibiotic inactivation
CBH19182.1	FN556186	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADH82410.1	HM046998	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADP02979.1	HM569226	CMY beta-lactamase	cephamycin	antibiotic inactivation
ACV32310.1	GQ402541	CMY beta-lactamase	cephamycin	antibiotic inactivation
YP_009075895.1	NG_035159	CMY beta-lactamase	cephamycin	antibiotic inactivation
CBI75447.1	FN645444	CMY beta-lactamase	cephamycin	antibiotic inactivation
AFK73431.1	JQ733571	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADQ38362.1	HQ336940	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADK55604.1	HM544039	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADK55605.1	HM544040	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADT91162.1	HQ322613	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADP37961.1	HQ285243	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADY19254.1	HQ185697	CMY beta-lactamase	cephamycin	antibiotic inactivation
BAJ17544.1	AB587082	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAB36902.1	AJ011293	CMY beta-lactamase	cephamycin	antibiotic inactivation
AEM97672.1	JF460794	CMY beta-lactamase	cephamycin	antibiotic inactivation
AEM97673.1	JF460795	CMY beta-lactamase	cephamycin	antibiotic inactivation
AEM97674.1	JF460796	CMY beta-lactamase	cephamycin	antibiotic inactivation
AET07387.1	HQ650104	CMY beta-lactamase	cephamycin	antibiotic inactivation
ADW84690.1	HQ832678	CMY beta-lactamase	cephamycin	antibiotic inactivation
AEI52842.1	JF780936	CMY beta-lactamase	cephamycin	antibiotic inactivation
AEZ49849.1	JN714478	CMY beta-lactamase	cephamycin	antibiotic inactivation
AFK08541.1	JQ711185	CMY beta-lactamase	cephamycin	antibiotic inactivation
AEZ49855.1	JN714480	CMY beta-lactamase	cephamycin	antibiotic inactivation
AGE45504.1	JX049132	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAB36900.1	AJ011291	CMY beta-lactamase	cephamycin	antibiotic inactivation
AFU25635.1	JX440350	CMY beta-lactamase	cephamycin	antibiotic inactivation
